Location ID,Nombre,Dirección,Calificación,Sitio Web,Title 1,Rating 1,Trip Type 1,Title 2,Rating 2,Trip Type 2,Title 3,Rating 3,Trip Type 3
7258621,Casa Andina Select Pucallpa,Jiron Sucre 198,4.5,https://www.tripadvisor.es/Hotel_Review-g779474-d7258621-Reviews-Casa_Andina_Select_Pucallpa-Pucallpa_Ucayali_Region.html?m=66827,Excelente ,Positivo,De negocios,Hotel de Lujo en Pucallpa,Positivo,De negocios,Recomendado ,Positivo,En familia
1891802,Costa del Sol Wyndham Pucallpa,Av. San Martin 200,4.5,https://www.tripadvisor.es/Hotel_Review-g779474-d1891802-Reviews-Costa_del_Sol_Wyndham_Pucallpa-Pucallpa_Ucayali_Region.html?m=66827,Excelente lugar,Positivo,En pareja,Fue una excelente experiencia,Positivo,En familia,Calidad de servicio ,Positivo,De negocios
12673515,Qallwa Pucallpa,Jiron Luis Scavino No113 Jiron inmaculada Cdra 1,3.0,https://www.tripadvisor.es/Hotel_Review-g779474-d12673515-Reviews-Qallwa_Pucallpa-Pucallpa_Ucayali_Region.html?m=66827,Buen hotel,Positivo,Con amigos,Excelente servicio y bonitas instalaciones ,Positivo,Con amigos,Excelente servicio,Positivo,De negocios
6882632,Sol de Pucallpa,Pasaje Mariano Cardenas 181,4.0,https://www.tripadvisor.es/Hotel_Review-g779474-d6882632-Reviews-Sol_de_Pucallpa-Pucallpa_Ucayali_Region.html?m=66827,Hotel Bonito,Positivo,En pareja,Servicio y restaurant excelente,Positivo,En familia,Muy Bueno,Positivo,En pareja
20262692,"Suisui Lodge , Pucallpa - Ayahuasca Insights",Jr. La Selva 568,N/A,https://www.tripadvisor.es/Hotel_Review-g779474-d20262692-Reviews-Suisui_Lodge_Pucallpa_Ayahuasca_Insights-Pucallpa_Ucayali_Region.html?m=66827,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible
1631037,Manish Hotel Ecologico,Jr. Arturo Vargas Guerra No.471,5.0,https://www.tripadvisor.es/Hotel_Review-g779474-d1631037-Reviews-Manish_Hotel_Ecologico-Pucallpa_Ucayali_Region.html?m=66827,"Excelente lugar , desde que ingrese hasta que salí quede fascinada volvería a ese lugar una y mil veces más . ♥️♥️♥️♥️♥️♥️♥️♥️♥️",Positivo,En familia,Hermosas instalaciones y personal muy amable,Positivo,En familia,Muy buen trato de todo el personal sin excepción ,Positivo,En familia
26350724,HOTEL CHINO ALANYA PUCALLPA,Jr Iquitos-Mz 41-Lt 9A,N/A,https://www.tripadvisor.es/Hotel_Review-g779474-d26350724-Reviews-HOTEL_CHINO_ALANYA_PUCALLPA-Pucallpa_Ucayali_Region.html?m=66827,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible
26656117,Elixir Home Pucallpa,"Purus MZ 87, LT 01",N/A,https://www.tripadvisor.es/Hotel_Review-g779474-d26656117-Reviews-Elixir_Home_Pucallpa-Pucallpa_Ucayali_Region.html?m=66827,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible,No disponible,sin calificar,No disponible
736350,Los Gavilanes Hotel,Jr. Ipuatia #370,4.0,https://www.tripadvisor.es/Hotel_Review-g779474-d736350-Reviews-Los_Gavilanes_Hotel-Pucallpa_Ucayali_Region.html?m=66827,Excelente experiencia en la selva.,Positivo,De negocios,"Agradable, pero mejorar su personal de recepción.",Positivo,NONE,En las fotos parece mejor de lo que es ,Negativo,En pareja
2043890,Grand Hotel Mercedes,Jr. Raimondi 610,4.0,https://www.tripadvisor.es/Hotel_Review-g779474-d2043890-Reviews-Grand_Hotel_Mercedes-Pucallpa_Ucayali_Region.html?m=66827,"Hermosa piscina, muy buen restaurante y trato excelente.",Positivo,En familia,Excelente,Positivo,En pareja,Buena opción en el centro de Pucallpa,Positivo,En familia
